Timestamp,Transcription
2024-11-12 20:01:04,このまま出てきました
2024-11-12 20:01:21, この中に2人は閉じ込められています 今すぐ解放します 可愛い
2024-11-12 20:01:31,た 戻りした最高の作業 プレゼントだ これ泣ける 明日に溜まってた
2024-11-12 20:01:42, これやばいですねこれは東京ドームの上にオードリーさんがいらっしゃいます 最高のスノードームだ
2024-11-12 20:01:53,だ この袋はお家で開けよう やばい めっちゃ可愛い
2024-11-12 20:02:05, ちょっと待って嬉しいクリスマスみたいな色だし 可愛いクリスマスじゃない ラスタカラーだ
2024-11-12 20:02:16, これかわいい めっちゃ可愛くて なんか リアルな反応しちゃった かわいい
2024-11-12 20:02:26,
2024-11-12 20:02:36, めちゃくちゃ可愛いあーこれ お家に飾ろう テレビの前に宝物で増えましたこうやってやったら見て いっぱい
2024-11-12 20:02:47,ラストから落ち着くと2人が出てくるひないな MC
2024-11-12 20:02:57,C の席に起きたい 東京ドームまでに会えないんじゃったな あれな気がします 実物の傘屋さん大きいですよ
2024-11-12 20:03:07, めっちゃ嬉しいこれ ゲットできて
2024-11-12 20:03:54, 他にもいっぱい 髪の毛 トゥヤングトゥダイ
2024-11-12 20:04:04,
2024-11-12 20:04:15,あの CanCam 是非見てください もう発売中です メルルが表紙かなパーカー買ったよ
